Month,Steel
1956-01,196.9
1956-02,192.1
1956-03,201.8
1956-04,186.9
1956-05,218
1956-06,214.4
1956-07,227.5
1956-08,204.1
1956-09,225.8
1956-10,223.7
1956-11,244.7
1956-12,243.9
1957-01,257.3
1957-02,234.5
1957-03,251.4
1957-04,243.8
1957-05,247.4
1957-06,245.3
1957-07,262.5
1957-08,270
1957-09,259.9
1957-10,262.2
1957-11,244.9
1957-12,249.3
1958-01,268.2
1958-02,231.2
1958-03,264.3
1958-04,252.7
1958-05,275.5
1958-06,261.5
1958-07,275.5
1958-08,272.3
1958-09,268.6
1958-10,270.4
1958-11,267.7
1958-12,275
1959-01,272.6
1959-02,248.6
1959-03,279.4
1959-04,270.5
1959-05,292.8
1959-06,297.8
1959-07,296.8
1959-08,290.9
1959-09,282.8
1959-10,312.8
1959-11,303.2
1959-12,301.4
1960-01,289.8
1960-02,279.6
1960-03,302.2
1960-04,299.1
1960-05,319.7
1960-06,310.9
1960-07,315.2
1960-08,338.5
1960-09,315.6
1960-10,321.2
1960-11,318.5
1960-12,342.7
1961-01,261.4
1961-02,287
1961-03,331.5
1961-04,326.9
1961-05,338.6
1961-06,337
1961-07,358.4
1961-08,344.5
1961-09,345.7
1961-10,344.1
1961-11,317.4
1961-12,354.5
1962-01,345.2
1962-02,314.1
1962-03,352.5
1962-04,361.2
1962-05,365.9
1962-06,332.5
1962-07,364
1962-08,359.1
1962-09,345.6
1962-10,366.9
1962-11,370.2
1962-12,359.9
1963-01,366.6
1963-02,336.3
1963-03,368.5
1963-04,374.2
1963-05,384.3
1963-06,358.9
1963-07,407.7
1963-08,433.3
1963-09,404.7
1963-10,392.7
1963-11,409.7
1963-12,416.5
1964-01,414.3
1964-02,404.3
1964-03,421.4
1964-04,372.6
1964-05,404.7
1964-06,420.2
1964-07,438.4
1964-08,449.1
1964-09,445.8
1964-10,413.8
1964-11,420.5
1964-12,442.3
1965-01,438.9
1965-02,394.5
1965-03,416.8
1965-04,402.9
1965-05,424.5
1965-06,432.3
1965-07,484.1
1965-08,492.7
1965-09,496.3
1965-10,471.9
1965-11,491.2
1965-12,512.9
1966-01,482.4
1966-02,407.9
1966-03,448.5
1966-04,431.1
1966-05,498.8
1966-06,497.1
1966-07,517.1
1966-08,487.7
1966-09,512.5
1966-10,550.1
1966-11,532.5
1966-12,524.1
1967-01,515.7
1967-02,461
1967-03,529.3
1967-04,467.4
1967-05,559.8
1967-06,536.5
1967-07,531.9
1967-08,546.5
1967-09,547.4
1967-10,536.1
1967-11,482.8
1967-12,551
1968-01,532.9
1968-02,484.1
1968-03,554.8
1968-04,537
1968-05,558
1968-06,511.4
1968-07,502.9
1968-08,558.6
1968-09,545.1
1968-10,574.3
1968-11,542.2
1968-12,600
1969-01,588.6
1969-02,524.4
1969-03,618.5
1969-04,580.9
1969-05,557.2
1969-06,571.2
1969-07,597.5
1969-08,601.7
1969-09,558.9
1969-10,600.9
1969-11,601
1969-12,615.7
1970-01,578.1
1970-02,495.9
1970-03,526.8
1970-04,522.1
1970-05,605.1
1970-06,574.4
1970-07,609.7
1970-08,580.7
1970-09,565.1
1970-10,590.7
1970-11,571.5
1970-12,601.3
1971-01,567.3
1971-02,467.9
1971-03,588.9
1971-04,579.4
1971-05,502.6
1971-06,568.7
1971-07,616
1971-08,586.2
1971-09,575.5
1971-10,599.9
1971-11,568.2
1971-12,516
1972-01,493.4
1972-02,496.8
1972-03,529.9
1972-04,491.7
1972-05,543.2
1972-06,490.8
1972-07,554.7
1972-08,625.7
1972-09,605
1972-10,645.2
1972-11,645.2
1972-12,611.8
1973-01,600.3
1973-02,549.8
1973-03,635.5
1973-04,617.7
1973-05,643.5
1973-06,485.7
1973-07,689.5
1973-08,692
1973-09,677.3
1973-10,704.7
1973-11,668.6
1973-12,717.8
1974-01,689.8
1974-02,640.4
1974-03,675.2
1974-04,528.1
1974-05,538
1974-06,527.2
1974-07,655.6
1974-08,650.6
1974-09,623.7
1974-10,748.4
1974-11,727.4
1974-12,750.5
1975-01,678.9
1975-02,659.5
1975-03,691.9
1975-04,639.8
1975-05,663.8
1975-06,572.9
1975-07,592.5
1975-08,734.8
1975-09,696.1
1975-10,589.2
1975-11,662.9
1975-12,661.2
1976-01,672.1
1976-02,583.7
1976-03,705.5
1976-04,631
1976-05,733.3
1976-06,674.9
1976-07,695.5
1976-08,634.1
1976-09,630.6
1976-10,635.2
1976-11,554.1
1976-12,623.9
1977-01,679.3
1977-02,565.6
1977-03,564.1
1977-04,637.2
1977-05,650.8
1977-06,602.7
1977-07,587.5
1977-08,619.2
1977-09,616.5
1977-10,637.9
1977-11,557.9
1977-12,594
1978-01,668.7
1978-02,603.3
1978-03,674.5
1978-04,573.4
1978-05,706
1978-06,693.7
1978-07,627.5
1978-08,550.7
1978-09,592.3
1978-10,660.2
1978-11,597.3
1978-12,641
1979-01,663.6
1979-02,595.9
1979-03,638.4
1979-04,665.4
1979-05,671.4
1979-06,637
1979-07,685.7
1979-08,705.8
1979-09,704.8
1979-10,734.4
1979-11,674.2
1979-12,748.6
1980-01,763.4
1980-02,658
1980-03,627.5
1980-04,528.9
1980-05,488.3
1980-06,575.5
1980-07,735.6
1980-08,685.3
1980-09,613.6
1980-10,629.5
1980-11,634.7
1980-12,652.6
1981-01,728.3
1981-02,634.3
1981-03,690.7
1981-04,676.3
1981-05,675.4
1981-06,595.6
1981-07,712.4
1981-08,735.8
1981-09,544.4
1981-10,567
1981-11,510
1981-12,564
1982-01,630.7
1982-02,496.7
1982-03,660.9
1982-04,601.2
1982-05,655.2
1982-06,591.6
1982-07,606.1
1982-08,560.7
1982-09,368.3
1982-10,371.6
1982-11,413.9
1982-12,413.9
1983-01,389
1983-02,399.2
1983-03,429.8
1983-04,395.6
1983-05,472
1983-06,486
1983-07,525
1983-08,396
1983-09,511
1983-10,525
1983-11,492
1983-12,517
1984-01,525
1984-02,474
1984-03,539
1984-04,468
1984-05,543
1984-06,532
1984-07,565
1984-08,535
1984-09,534
1984-10,546
1984-11,494
1984-12,552
1985-01,511
1985-02,451
1985-03,537
1985-04,494
1985-05,549
1985-06,544
1985-07,598
1985-08,583
1985-09,582
1985-10,589
1985-11,578
1985-12,561
1986-01,592
1986-02,504
1986-03,545
1986-04,547
1986-05,585
1986-06,562
1986-07,520
1986-08,581
1986-09,590
1986-10,562
1986-11,548
1986-12,567
1987-01,542
1987-02,473
1987-03,531
1987-04,462
1987-05,479
1987-06,533
1987-07,552
1987-08,547
1987-09,562
1987-10,524
1987-11,479
1987-12,445
1988-01,406
1988-02,475
1988-03,589
1988-04,495
1988-05,484
1988-06,536
1988-07,555
1988-08,565
1988-09,564
1988-10,573
1988-11,569
1988-12,588
1989-01,546
1989-02,508
1989-03,560
1989-04,558
1989-05,516
1989-06,549
1989-07,595
1989-08,586
1989-09,597
1989-10,592
1989-11,538
1989-12,590
1990-01,576
1990-02,451
1990-03,538
1990-04,555
1990-05,532
1990-06,530
1990-07,553
1990-08,626
1990-09,601
1990-10,573
1990-11,569
1990-12,562
1991-01,468
1991-02,483
1991-03,460
1991-04,411
1991-05,458
1991-06,455
1991-07,600
1991-08,605
1991-09,545
1991-10,549
1991-11,415
1991-12,568
1992-01,577
1992-02,517
1992-03,558
1992-04,518
1992-05,489
1992-06,502
1992-07,569
1992-08,540
1992-09,550
1992-10,557
1992-11,542
1992-12,542
1993-01,582
1993-02,525
1993-03,584
1993-04,562
1993-05,639
1993-06,613
1993-07,604
1993-08,613
1993-09,625
1993-10,654
1993-11,638
