Month,Boise
1960-01,11.27011
1960-02,11.18516
1960-03,11.27011
1960-04,14.35664
1960-05,11.92139
1960-06,15.00793
1960-07,53.15073
1960-08,124.48087
1960-09,153.7605
1960-10,42.87171
1960-11,18.68912
1960-12,14.15843
1961-01,12.74258
1961-02,13.50714
1961-03,9.9109
1961-04,9.96753
1961-05,11.38337
1961-06,15.82912
1961-07,68.07371
1961-08,120.94127
1961-09,98.76917
1961-10,37.77468
1961-11,18.74575
1961-12,12.4311
1962-01,13.59209
1962-02,16.99011
1962-03,11.72318
1962-04,12.68595
1962-05,14.04516
1962-06,34.60319
1962-07,83.47807
1962-08,116.69374
1962-09,77.16342
1962-10,28.28853
1962-11,11.72318
1962-12,11.94971
1963-01,15.51763
1963-02,12.17625
1963-03,7.84377
1963-04,8.66496
1963-05,10.33565
1963-06,16.11229
1963-07,41.28597
1963-08,56.69033
1963-09,44.59904
1963-10,20.78457
1963-11,10.0808
1963-12,9.48614
1964-01,9.23129
1964-02,9.17466
1964-03,10.47723
1964-04,8.74991
1964-05,9.00476
1964-06,29.0814
1964-07,87.15926
1964-08,109.44463
1964-09,139.74365
1964-10,75.1246
1964-11,19.56694
1964-12,12.85585
1965-01,12.65763
1965-02,9.25961
1965-03,8.69327
1965-04,7.92872
1965-05,8.86317
1965-06,11.92139
1965-07,38.87904
1965-08,123.37652
1965-09,147.44584
1965-10,60.85291
1965-11,14.38496
1965-12,9.9109
1966-01,9.23129
1966-02,9.31624
1966-03,24.77724
1966-04,18.80239
1966-05,14.15843
1966-06,30.04418
1966-07,73.22737
1966-08,93.16244
1966-09,130.05929
1966-10,25.90992
1966-11,12.79922
1966-12,10.50555
1967-01,11.69486
1967-02,10.36397
1967-03,8.69327
1967-04,7.50397
1967-05,8.38179
1967-06,17.38655
1967-07,69.4046
1967-08,113.38067
1967-09,56.54875
1967-10,15.94239
1967-11,8.69327
1967-12,7.78713
1968-01,9.37288
1968-02,11.58159
1968-03,8.2402
1968-04,12.31783
1968-05,8.01367
1968-06,12.0913
1968-07,30.66715
1968-08,110.26581
1968-09,92.00145
1968-10,28.51507
1968-11,12.00634
1968-12,11.86476
1969-01,13.98852
1969-02,16.50872
1969-03,14.9513
1969-04,16.42377
1969-05,17.83962
1969-06,37.23666
1969-07,66.60123
1969-08,173.66724
1969-09,166.47476
1969-10,39.61527
1969-11,15.09288
1969-12,12.65763
1970-01,11.38337
1970-02,15.31942
1970-03,16.56536
1970-04,10.5905
1970-05,10.67545
1970-06,16.62199
1970-07,43.8628
1970-08,128.98325
1970-09,146.73792
1970-10,32.73428
1970-11,13.53545
1970-12,9.5711
1971-01,9.23129
1971-02,9.9109
1971-03,10.67545
1971-04,10.5905
1971-05,10.39228
1971-06,15.43268
1971-07,44.54241
1971-08,96.53214
1971-09,84.58243
1971-10,43.38141
1971-11,13.22397
1971-12,9.71268
1972-01,10.98694
1972-02,10.22238
1972-03,9.79763
1972-04,9.31624
1972-05,12.99743
1972-06,11.15684
1972-07,28.65665
1972-08,58.70083
1972-09,20.47308
1972-10,9.08971
1972-11,6.68278
1972-12,6.76773
1973-01,8.63664
1973-02,11.83644
1973-03,8.77822
1973-04,9.20298
1973-05,21.12437
1973-06,28.88319
1973-07,86.90441
1973-08,147.27594
1973-09,85.51689
1973-10,35.65091
1973-11,13.50714
1973-12,10.81704
1974-01,11.32674
1974-02,10.27902
1974-03,11.32674
1974-04,10.78872
1974-05,11.38337
1974-06,21.63407
1974-07,47.03429
1974-08,55.30281
1974-09,25.59843
1974-10,10.33565
1974-11,7.41901
1974-12,7.27743
1975-01,7.64555
1975-02,14.41328
1975-03,17.07506
1975-04,11.63823
1975-05,16.50872
1975-06,24.89051
1975-07,60.54143
1975-08,119.32721
1975-09,160.52822
1975-10,53.68875
1975-11,15.99902
1975-12,12.91248
1976-01,13.70536
1976-02,31.12022
1976-03,20.6713
1976-04,17.66971
1976-05,15.94239
1976-06,38.68082
1976-07,53.17904
1976-08,184.82408
1976-09,73.76539
1976-10,26.41962
1976-11,12.0913
1976-12,9.62773
1977-01,10.19407
1977-02,9.85426
1977-03,9.14634
1977-04,8.49506
1977-05,8.83486
1977-06,16.70694
1977-07,29.33626
1977-08,75.23787
1977-09,71.16024
1977-10,22.20041
1977-11,9.31624
1977-12,8.0703
1978-01,8.4101
1978-02,7.7305
1978-03,13.96021
1978-04,8.32515
1978-05,15.06456
1978-06,18.09447
1978-07,58.72915
1978-08,62.49529
1978-09,57.96459
1978-10,16.59367
1978-11,9.68436
1978-12,8.46674
1979-01,11.55327
1979-02,8.94812
1979-03,7.5606
1979-04,8.49506
1979-05,9.20298
1979-06,16.1406
1979-07,38.45428
1979-08,60.48479
1979-09,29.64774
1979-10,9.28793
1979-11,6.37129
1979-12,6.59783
1980-01,7.5606
1980-02,7.67387
1980-03,7.61723
1980-04,8.26852
1980-05,8.18357
1980-06,19.51031
1980-07,53.88697
1980-08,121.90404
1980-09,103.55472
1980-10,31.29012
1980-11,11.66654
1980-12,8.89149
1981-01,9.00476
1981-02,10.0808
1981-03,7.7305
1981-04,9.06139
1981-05,8.86317
1981-06,12.0913
1981-07,41.11607
1981-08,68.13034
1981-09,129.97434
1981-10,24.06932
1981-11,10.02416
1981-12,8.15525
1982-01,8.83486
1982-02,9.40119
1982-03,10.5905
1982-04,13.4505
1982-05,15.88575
1982-06,33.18735
1982-07,61.27766
1982-08,51.79152
1982-09,22.62516
1982-10,9.34456
1982-11,6.34297
1982-12,6.31466
1983-01,8.55169
1983-02,11.41169
1983-03,10.22238
1983-04,10.50555
1983-05,12.37446
1983-06,14.58318
1983-07,55.35944
1983-08,91.18026
1983-09,86.25313
1983-10,22.14378
1983-11,9.40119
1983-12,7.30575
1984-01,7.7305
1984-02,8.12694
1984-03,7.50397
1984-04,8.26852
1984-05,8.4101
1984-06,14.89466
1984-07,99.50541
1984-08,130.05929
1984-09,71.9248
1984-10,18.06615
1984-11,9.741
1984-12,8.43842
1985-01,7.9004
1985-02,7.44733
1985-03,8.26852
1985-04,7.67387
1985-05,8.52337
1985-06,14.07347
1985-07,32.84755
1985-08,82.31708
1985-09,43.49468
1985-10,13.53545
1985-11,7.33406
1985-12,6.68278
1986-01,7.81545
1986-02,9.82595
1986-03,23.58794
1986-04,13.25229
1986-05,13.1107
1986-06,24.94714
1986-07,75.54936
1986-08,129.54959
1986-09,122.49869
1986-10,42.36201
1986-11,14.41328
1986-12,10.22238
1987-01,11.55327
1987-02,12.06298
1987-03,11.92139
1987-04,10.13743
1987-05,10.19407
1987-06,26.73111
1987-07,59.60697
1987-08,73.70876
1987-09,31.94141
1987-10,13.96021
1987-11,7.41901
1987-12,7.30575
1988-01,8.69327
1988-02,7.75882
1988-03,10.36397
1988-04,10.56219
1988-05,14.38496
1988-06,36.10398
1988-07,69.14975
1988-08,98.57096
1988-09,55.52934
1988-10,15.09288
1988-11,7.87208
1988-12,9.11803
1989-01,10.95862
1989-02,12.2612
1989-03,10.84535
1989-04,10.22238
1989-05,12.4311
1989-06,18.74575
1989-07,34.97131
1989-08,76.68203
1989-09,63.00499
1989-10,19.28377
1989-11,12.00634
1989-12,10.27902
1990-01,10.0808
1990-02,15.17783
1990-03,23.24813
1990-04,12.65763
1990-05,12.62932
1990-06,15.17783
1990-07,63.06163
1990-08,67.19589
1990-09,82.88342
1990-10,32.02636
1990-11,11.15684
1990-12,8.55169
1991-01,8.4101
1991-02,13.42219
1991-03,14.44159
1991-04,22.56853
1991-05,20.13328
1991-06,32.98913
1991-07,160.21674
1991-08,135.09969
1991-09,133.17415
1991-10,84.24263
1991-11,23.16318
1991-12,12.96912
1992-01,13.36555
1992-02,15.06456
1992-03,11.18516
1992-04,10.30733
1992-05,10.39228
1992-06,12.37446
1992-07,31.51665
1992-08,62.72182
1992-09,55.04796
1992-10,23.27645
1992-11,10.10912
1992-12,8.38179
1993-01,8.4101
1993-02,11.44001
1993-03,9.03308
1993-04,10.67545
1993-05,13.4505
1993-06,16.53704
1993-07,37.71804
1993-08,102.47868
1993-09,102.39373
1993-10,37.32161
1993-11,13.02575
1993-12,9.96753
1994-01,9.76931
1994-02,11.72318
1994-03,15.03625
1994-04,14.9513
1994-05,13.4505
1994-06,32.50774
1994-07,104.06442
1994-08,126.43474
1994-09,86.93273
1994-10,30.07249
1994-11,12.51605
1994-12,10.73209
1995-01,14.30001
1995-02,15.74417
1995-03,23.30477
1995-04,13.2806
1995-05,17.86793
1995-06,31.96972
1995-07,62.3537
1995-08,129.69117
1995-09,77.41827
1995-10,30.04418
1995-11,12.20456
1995-12,10.19407
1996-01,12.99743
1996-02,12.06298
1996-03,11.60991
1996-04,15.461
1996-05,11.86476
1996-06,12.79922
1996-07,51.45172
1996-08,115.39116
1996-09,108.19868
1996-10,27.26913
1996-11,12.0913
1996-12,9.85426
1997-01,10.2507
1997-02,11.38337
1997-03,10.53387
1997-04,9.68436
1997-05,9.00476
1997-06,21.32259
1997-07,76.45549
1997-08,129.83276
1997-09,75.26619
1997-10,22.31368
1997-11,10.56219
1997-12,8.69327
1998-01,10.22238
1998-02,12.20456
1998-03,11.21347
1998-04,13.19565
1998-05,15.48932
1998-06,23.16318
1998-07,68.24361
1998-08,111.14364
1998-09,126.00998
1998-10,59.52202
1998-11,17.69803
1998-12,13.05407
1999-01,14.49823
1999-02,18.60417
1999-03,16.87684
1999-04,13.13902
1999-05,21.12437
1999-06,20.18991
1999-07,95.31452
1999-08,136.71375
1999-09,100.6664
1999-10,46.80775
1999-11,17.32991
1999-12,11.32674
2000-01,17.24496
2000-02,14.49823
2000-03,17.4715
2000-04,12.85585
2000-05,14.27169
2000-06,15.91407
2000-07,104.46086
2000-08,159.62208
2000-09,112.41789
2000-10,37.66141
2000-11,15.71585
2000-12,11.12852
2001-01,9.65605
2001-02,8.89149
2001-03,11.04357
2001-04,16.1406
2001-05,15.54595
2001-06,20.18991
2001-07,60.54143
2001-08,86.8761
2001-09,143
2001-10,63.51469
2001-11,16.33882
2001-12,10.50555
2002-01,9.54278
2002-02,11.46832
2002-03,10.61882
2002-04,11.58159
2002-05,17.61308
2002-06,25.42853
2002-07,79.79688
2002-08,136.09078
2002-09,90.2458
2002-10,46.7228
2002-11,14.80971
2002-12,10.70377
2003-01,10.16575
2003-02,10.27902
2003-03,9.20298
2003-04,9.25961
2003-05,8.58001
2003-06,9.76931
2003-07,22.22873
2003-08,92.65273
2003-09,110.49235
2003-10,34.82973
2003-11,12.48773
2003-12,9.14634
2004-01,10.53387
2004-02,15.71585
2004-03,42.75844
2004-04,28.14695
2004-05,16.16892
2004-06,32.13963
2004-07,109.35968
2004-08,173.63893
2004-09,133.65553
2004-10,44.25924
2004-11,16.16892
2004-12,11.38337
2005-01,12.65763
2005-02,12.48773
2005-03,14.21506
2005-04,10.56219
2005-05,17.35823
2005-06,25.96655
2005-07,63.76955
2005-08,158.37614
2005-09,118.59097
2005-10,33.98022
2005-11,13.13902
2005-12,10.30733
2006-01,11.35506
2006-02,10.39228
2006-03,11.72318
2006-04,10.9303
2006-05,19.56694
2006-06,17.89625
2006-07,47.14756
2006-08,190.77062
2006-09,115.22126
2006-10,31.34675
2006-11,14.21506
2006-12,10.67545
2007-01,9.96753
2007-02,14.41328
2007-03,17.27328
2007-04,14.61149
2007-05,13.19565
2007-06,16.42377
2007-07,56.69033
2007-08,73.99193
2007-09,96.33392
2007-10,26.3913
2007-11,11.83644
2007-12,14.18674
2008-01,19.79348
2008-02,14.24338
2008-03,11.18516
2008-04,11.18516
2008-05,10.90199
2008-06,29.05309
2008-07,64.10935
2008-08,80.165
2008-09,85.40362
2008-10,19.62358
2008-11,10.95862
2008-12,9.28793
