"Year","Annual precipitation (inches), Lake Michigan, 1900 to 1986"
"1900",33.20
"1901",27.55
"1902",31.81
"1903",32.50
"1904",31.01
"1905",34.83
"1906",33.19
"1907",31.56
"1908",29.29
"1909",32.62
"1910",26.14
"1911",35.26
"1912",32.90
"1913",29.67
"1914",31.57
"1915",31.21
"1916",34.55
"1917",27.15
"1918",29.99
"1919",30.53
"1920",29.02
"1921",31.58
"1922",32.82
"1923",28.86
"1924",32.13
"1925",25.56
"1926",34.00
"1927",32.35
"1928",32.83
"1929",30.56
"1930",22.21
"1931",30.95
"1932",28.44
"1933",29.86
"1934",28.04
"1935",30.00
"1936",28.39
"1937",30.10
"1938",36.21
"1939",29.47
"1940",34.45
"1941",33.95
"1942",35.62
"1943",32.27
"1944",29.50
"1945",36.61
"1946",27.86
"1947",33.34
"1948",29.10
"1949",30.57
"1950",32.96
"1951",37.02
"1952",30.11
"1953",28.99
"1954",36.89
"1955",27.55
"1956",27.20
"1957",30.90
"1958",25.99
"1959",37.82
"1960",34.63
"1961",31.43
"1962",26.97
"1963",24.92
"1964",29.56
"1965",36.89
"1966",29.45
"1967",33.33
"1968",34.29
"1969",31.56
"1970",32.86
"1971",30.10
"1972",34.97
"1973",33.98
"1974",32.77
"1975",35.74
"1976",26.54
"1977",34.42
"1978",33.67
"1979",33.18
"1980",32.11
"1981",31.51
"1982",32.86
"1983",31.55
"1984",29.74
"1985",38.98
"1986",34.65

Annual precipitation (inches), Lake Michigan, 1900 to 1986

