"Month","Monthly unit sales, Winnebago Industries, Nov. 1966 ? Feb. 1972"
"1966-11",61
"1966-12",48
"1967-01",53
"1967-02",78
"1967-03",75
"1967-04",58
"1967-05",146
"1967-06",193
"1967-07",124
"1967-08",120
"1967-09",134
"1967-10",99
"1967-11",130
"1967-12",166
"1968-01",168
"1968-02",267
"1968-03",314
"1968-04",432
"1968-05",355
"1968-06",384
"1968-07",232
"1968-08",235
"1968-09",293
"1968-10",242
"1968-11",248
"1968-12",236
"1969-01",209
"1969-02",358
"1969-03",352
"1969-04",406
"1969-05",562
"1969-06",389
"1969-07",416
"1969-08",493
"1969-09",409
"1969-10",328
"1969-11",222
"1969-12",195
"1970-01",156
"1970-02",439
"1970-03",671
"1970-04",874
"1970-05",558
"1970-06",621
"1970-07",628
"1970-08",652
"1970-09",495
"1970-10",344
"1970-11",405
"1970-12",586
"1971-01",403
"1971-02",700
"1971-03",837
"1971-04",1224
"1971-05",1117
"1971-06",1214
"1971-07",762
"1971-08",846
"1971-09",1228
"1971-10",937
"1971-11",1396
"1971-12",1174
"1972-01",628
"1972-02",1753

Monthly unit sales, Winnebago Industries, Nov. 1966 ? Feb. 1972

